XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
08/13/2025 08:00,3354.4,3366.91,3352.59,3362.34,794,0.24,
08/13/2025 04:00,3349.71,3361.03,3345.67,3354.64,493,0.15,
08/13/2025 00:00,3350.47,3354.26,3342.68,3349.71,-76,-0.02,
08/12/2025 20:00,3347.53,3353.76,3346.03,3350.49,296,0.09,
08/12/2025 16:00,3349.83,3351.32,3345.55,3347.49,-234,-0.07,
08/12/2025 12:00,3347.66,3357.99,3330.81,3349.86,220,0.07,
08/12/2025 08:00,3355.71,3355.71,3335.9,3347.39,-832,-0.25,
08/12/2025 04:00,3349.34,3357.95,3342.09,3355.73,639,0.19,
08/12/2025 00:00,3348.96,3357.53,3346.06,3349.33,37,0.01,
08/11/2025 20:00,3351.49,3351.87,3342.23,3348.95,-254,-0.08,
08/11/2025 16:00,3349.5,3358.72,3341.29,3351.39,189,0.06,
08/11/2025 12:00,3355.18,3362.91,3341.49,3349.45,-573,-0.17,
08/11/2025 08:00,3360.08,3365.96,3349.76,3355.36,-472,-0.14,
08/11/2025 04:00,3378.47,3380.14,3356.83,3360.27,-1820,-0.54,
08/11/2025 00:00,3391.6,3391.66,3367.44,3378.36,-1324,-0.39,
08/10/2025 20:00,3403.46,3404.92,3390.63,3391.62,-1184,-0.35,
08/08/2025 20:00,3398.5,3399.05,3392.16,3397.06,-144,-0.04,
08/08/2025 16:00,3395.25,3404.05,3376.25,3398.55,330,0.10,
08/08/2025 12:00,3386.23,3401.64,3381.01,3395.17,894,0.26,
08/08/2025 08:00,3402.07,3402.59,3380.49,3386.13,-1594,-0.47,
08/08/2025 04:00,3395.68,3404.24,3388.75,3401.88,620,0.18,
08/08/2025 00:00,3400.54,3402.54,3381.2,3395.98,-456,-0.13,
08/07/2025 20:00,3399.81,3407.68,3388.74,3400.4,59,0.02,
08/07/2025 16:00,3390.2,3400.84,3384.4,3399.93,973,0.29,
08/07/2025 12:00,3378.32,3393.74,3375.16,3390.3,1198,0.35,
08/07/2025 08:00,3396.24,3396.4,3371.73,3378.29,-1795,-0.53,
08/07/2025 04:00,3379.79,3397.33,3371.57,3395.93,1614,0.48,
08/07/2025 00:00,3370.18,3384.02,3365.28,3379.78,960,0.28,
08/06/2025 20:00,3371.69,3374.79,3367.21,3370.14,-155,-0.05,
08/06/2025 16:00,3377.56,3379.31,3368.98,3371.58,-598,-0.18,
08/06/2025 12:00,3365.22,3379.86,3360.2,3377.38,1216,0.36,
08/06/2025 08:00,3373.43,3374.61,3358.07,3365.21,-822,-0.24,
08/06/2025 04:00,3374.68,3378.54,3368.95,3373.69,-99,-0.03,
08/06/2025 00:00,3383.3,3385.38,3373.07,3374.61,-869,-0.26,
08/05/2025 20:00,3379.09,3384.01,3378.14,3383.31,422,0.12,
08/05/2025 16:00,3389.59,3390.46,3376.81,3379.14,-1045,-0.31,
08/05/2025 12:00,3369.22,3369.22,3369.22,3369.22,0,0.00,
08/05/2025 08:00,3373.73,3374.69,3349.91,3351.38,-2235,-0.67,
08/05/2025 04:00,3372.11,3375.5,3366.03,3373.73,162,0.05,
08/05/2025 00:00,3377.49,3382.38,3371.95,3372.23,-526,-0.16,
08/04/2025 20:00,3375.88,3379.68,3373.38,3377.47,159,0.05,
08/04/2025 16:00,3374.32,3378.1,3370.4,3375.97,165,0.05,
08/04/2025 12:00,3370.29,3385.42,3361.13,3374.29,400,0.12,
08/04/2025 08:00,3356.0,3370.75,3353.02,3370.26,1426,0.42,
08/04/2025 04:00,3360.19,3362.63,3351.59,3355.72,-447,-0.13,
08/04/2025 00:00,3361.95,3362.39,3344.97,3360.26,-169,-0.05,
08/03/2025 20:00,3362.8,3365.64,3354.44,3362.01,-79,-0.02,
08/01/2025 20:00,3357.24,3363.45,3357.17,3363.19,595,0.18,
08/01/2025 16:00,3348.64,3361.32,3340.57,3357.08,844,0.25,
08/01/2025 12:00,3300.41,3354.58,3297.49,3348.55,4814,1.44,
08/01/2025 08:00,3286.72,3303.0,3285.37,3300.32,1360,0.41,
08/01/2025 04:00,3291.35,3300.15,3285.06,3286.85,-450,-0.14,
08/01/2025 00:00,3288.52,3297.0,3281.44,3291.54,302,0.09,
07/31/2025 20:00,3290.95,3295.17,3288.07,3288.52,-243,-0.07,
07/31/2025 16:00,3295.44,3298.45,3289.66,3290.85,-459,-0.14,
07/31/2025 12:00,3306.22,3311.06,3291.41,3295.59,-1063,-0.32,
07/31/2025 08:00,3304.63,3314.75,3293.66,3306.25,162,0.05,
07/31/2025 04:00,3294.84,3309.37,3293.86,3304.58,974,0.29,
07/31/2025 00:00,3285.33,3298.6,3282.86,3295.11,978,0.30,
07/30/2025 20:00,3269.42,3285.83,3268.94,3285.37,1595,0.49,
07/30/2025 16:00,3290.48,3304.7,3267.97,3269.35,-2113,-0.65,
07/30/2025 12:00,3330.78,3331.95,3288.56,3290.39,-4039,-1.23,
07/30/2025 08:00,3327.95,3333.96,3323.8,3330.77,282,0.08,
07/30/2025 04:00,3328.33,3332.08,3323.21,3327.8,-53,-0.02,
07/30/2025 00:00,3327.56,3333.66,3321.92,3328.44,88,0.03,
07/29/2025 20:00,3325.02,3329.17,3324.71,3327.56,254,0.08,
07/29/2025 16:00,3320.7,3330.81,3319.02,3325.08,438,0.13,
07/29/2025 12:00,3315.32,3334.12,3312.04,3320.7,538,0.16,
07/29/2025 08:00,3317.18,3329.82,3314.84,3315.1,-208,-0.06,
07/29/2025 04:00,3312.54,3322.32,3308.89,3317.17,463,0.14,
07/29/2025 00:00,3312.55,3320.87,3307.71,3312.52,-3,0.00,
07/28/2025 20:00,3317.18,3318.52,3310.6,3312.55,-463,-0.14,
07/28/2025 16:00,3314.69,3318.77,3308.78,3317.15,246,0.07,
07/28/2025 12:00,3336.68,3338.36,3301.63,3314.76,-2192,-0.66,
07/28/2025 08:00,3334.99,3340.74,3332.17,3336.59,160,0.05,
07/28/2025 04:00,3343.21,3345.31,3333.94,3335.03,-818,-0.25,
07/28/2025 00:00,3333.74,3343.32,3327.44,3343.27,953,0.29,
07/27/2025 20:00,3328.34,3337.36,3323.67,3333.64,530,0.16,
07/25/2025 20:00,3337.62,3339.13,3336.07,3336.75,-87,-0.03,
07/25/2025 16:00,3327.82,3340.32,3326.12,3337.34,952,0.29,
07/25/2025 12:00,3340.98,3347.57,3325.16,3327.86,-1312,-0.39,
07/25/2025 08:00,3354.05,3355.32,3338.56,3341.06,-1299,-0.39,
07/25/2025 04:00,3359.15,3363.47,3352.51,3354.1,-505,-0.15,
07/25/2025 00:00,3369.52,3373.48,3358.54,3359.21,-1031,-0.31,
07/24/2025 20:00,3370.73,3371.46,3365.09,3369.46,-127,-0.04,
07/24/2025 16:00,3372.56,3373.84,3366.27,3370.5,-206,-0.06,
07/24/2025 12:00,3362.21,3377.46,3351.4,3372.55,1034,0.31,
07/24/2025 08:00,3367.76,3374.53,3361.0,3362.28,-548,-0.16,
07/24/2025 04:00,3383.68,3385.28,3365.95,3367.71,-1597,-0.47,
07/24/2025 00:00,3390.09,3393.35,3374.57,3383.69,-640,-0.19,
